date,home_team,away_team,home_score,away_score
06.12. 23:30,Union La Calera,Everton,6,2
06.12. 14:30,S. Wanderers,Coquimbo,1,1
05.12. 21:00,Huachipato,Colo Colo,2,2
04.12. 21:00,La Serena,Deportes Iquique,1,0
04.12. 14:30,Cobresal,O'Higgins,1,1
04.12. 00:00,U. Espanola,U. De Concepcion,1,1
03.12. 14:30,Curico Unido,A. Italiano,4,1
02.12. 14:30,Antofagasta,Palestino,1,1
25.11. 22:00,Colo Colo,Curico Unido,0,2
25.11. 01:30,A. Italiano,S. Wanderers,1,1
24.11. 01:30,U. Espanola,O'Higgins,0,2
23.11. 23:15,U. De Concepcion,Huachipato,0,1
23.11. 21:00,Deportes Iquique,Cobresal,0,0
23.11. 01:30,U. Catolica,Antofagasta,5,3
22.11. 23:15,Everton,U. De Chile,1,1
22.11. 14:30,Palestino,La Serena,1,3
21.11. 23:15,Coquimbo,Union La Calera,1,2
20.11. 01:00,S. Wanderers,U. Espanola,1,0
19.11. 22:30,Colo Colo,A. Italiano,1,0
19.11. 20:15,Huachipato,Deportes Iquique,1,1
19.11. 14:30,Antofagasta,Everton,1,1
19.11. 01:30,Coquimbo,U. Catolica,2,1
18.11. 23:15,Union La Calera,U. De Chile,1,0
18.11. 21:00,Cobresal,La Serena,1,2
18.11. 14:30,Curico Unido,U. De Concepcion,2,2
17.11. 14:30,O'Higgins,Palestino,1,0
16.11. 01:00,U. Catolica,Cobresal,2,1
15.11. 22:30,U. De Chile,S. Wanderers,3,0
15.11. 20:00,La Serena,Huachipato,1,0
15.11. 15:00,U. De Concepcion,Antofagasta,2,0
15.11. 01:00,A. Italiano,Coquimbo,2,0
14.11. 22:30,U. Espanola,Union La Calera,3,2
14.11. 20:00,Deportes Iquique,Curico Unido,1,2
14.11. 15:00,Palestino,Colo Colo,3,1
13.11. 17:30,Everton,O'Higgins,0,1
11.11. 20:00,Curico Unido,U. Catolica,3,2
10.11. 15:00,Colo Colo,Antofagasta,1,0
08.11. 20:00,Palestino,U. Catolica,1,4
01.11. 22:30,U. Catolica,La Serena,3,0
01.11. 20:00,Coquimbo,U. Espanola,1,1
31.10. 22:30,A. Italiano,Everton,1,2
31.10. 20:00,Curico Unido,Palestino,1,0
31.10. 17:30,Huachipato,O'Higgins,2,0
31.10. 15:00,Colo Colo,Deportes Iquique,0,2
30.10. 15:00,Antofagasta,Union La Calera,3,1
29.10. 20:00,U. De Concepcion,U. De Chile,1,0
29.10. 17:30,Cobresal,S. Wanderers,1,0
28.10. 20:00,Everton,Colo Colo,1,1
21.10. 23:30,U. Espanola,Cobresal,1,0
21.10. 21:00,U. De Chile,A. Italiano,2,2
21.10. 18:30,Coquimbo,U. De Concepcion,0,2
21.10. 16:00,S. Wanderers,Antofagasta,2,1
20.10. 21:00,O'Higgins,Curico Unido,2,2
20.10. 18:30,Union La Calera,Huachipato,3,0
20.10. 16:00,Deportes Iquique,La Serena,2,0
15.10. 23:30,A. Italiano,O'Higgins,2,1
15.10. 21:00,Antofagasta,U. De Chile,1,0
15.10. 18:30,S. Wanderers,Union La Calera,0,3
15.10. 16:00,U. De Concepcion,Deportes Iquique,1,1
14.10. 23:30,Colo Colo,U. Espanola,3,5
14.10. 21:00,Huachipato,Everton,1,0
14.10. 18:30,Cobresal,Coquimbo,0,1
14.10. 16:00,La Serena,Palestino,4,2
11.10. 23:30,U. De Chile,La Serena,3,0
11.10. 21:00,Union La Calera,Palestino,1,0
10.10. 23:30,U. Catolica,U. De Concepcion,1,1
10.10. 21:00,Everton,S. Wanderers,2,2
10.10. 18:30,Huachipato,Antofagasta,0,0
10.10. 16:00,Deportes Iquique,A. Italiano,2,1
09.10. 23:00,Coquimbo,Colo Colo,2,2
09.10. 20:30,U. Espanola,Curico Unido,2,1
08.10. 16:00,O'Higgins,Cobresal,0,2
04.10. 21:30,Union La Calera,A. Italiano,3,2
04.10. 19:00,U. Catolica,U. De Chile,3,0
03.10. 23:30,Colo Colo,Huachipato,0,1
03.10. 21:00,Curico Unido,Everton,1,3
03.10. 18:30,Antofagasta,Cobresal,2,1
03.10. 16:00,La Serena,U. Espanola,0,2
02.10. 21:00,O'Higgins,Coquimbo,1,4
02.10. 16:00,S. Wanderers,Deportes Iquique,3,1
01.10. 18:30,Palestino,U. De Concepcion,0,1
27.09. 21:00,U. Espanola,U. De Chile,3,1
26.09. 23:30,A. Italiano,Curico Unido,0,0
26.09. 21:00,Everton,U. Catolica,2,2
25.09. 23:30,Huachipato,La Serena,1,1
25.09. 21:00,Coquimbo,S. Wanderers,2,1
24.09. 21:00,Cobresal,Palestino,2,1
24.09. 18:30,U. De Concepcion,O'Higgins,1,4
24.09. 16:00,Deportes Iquique,Union La Calera,0,3
17.09. 16:00,Antofagasta,U. Espanola,2,0
16.09. 17:00,Palestino,Deportes Iquique,2,0
15.09. 21:00,Curico Unido,Coquimbo,2,1
15.09. 16:00,La Serena,U. De Concepcion,0,1
14.09. 21:00,U. De Chile,Cobresal,2,1
